Timestamp,Coin,Price (USD),Market Cap (USD),24h Change (%)
2025-06-22 16:18:43,Bitcoin,99415.0,1976535806534.7034,-3.06
2025-06-22 16:18:43,Dogecoin,0.14856,22247229766.43689,-6.03
2025-06-22 16:18:43,Ethereum,2189.81,264370436109.44235,-8.62
2025-06-22 17:24:20,Bitcoin,100257.0,1994445442394.1885,-1.57
2025-06-22 17:24:20,Dogecoin,0.148276,22215946972.372723,-3.65
2025-06-22 17:24:20,Ethereum,2211.12,266955425878.25714,-3.92
